ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SensationSeeing,Alcohol
1,2,1,5,5,3,39,36,42,37,42,3,2,1
2,1,0,8,5,6,29,52,55,48,41,2,5,1
3,2,0,5,5,6,31,45,40,32,34,1,7,1
4,0,1,7,5,6,34,34,46,47,46,1,2,0
5,2,1,8,5,6,43,28,43,41,50,3,5,0
6,5,1,3,1,6,29,38,35,55,52,1,1,0
7,3,0,7,6,6,31,32,43,41,48,3,6,1
8,2,0,1,5,6,24,52,40,41,52,4,4,1
9,2,1,5,1,6,42,55,39,48,49,1,1,0
10,4,0,7,5,6,33,40,36,47,43,1,3,1
11,1,1,6,5,6,26,45,38,38,53,4,6,1
12,3,0,4,3,6,24,40,47,30,38,5,9,1
13,4,1,6,5,6,56,41,49,32,36,7,6,1
14,4,1,5,1,6,28,45,46,49,59,2,3,0
15,4,1,5,5,6,27,49,49,39,52,7,8,1
16,4,0,6,5,6,19,29,35,36,49,2,4,1
17,2,1,4,5,6,22,34,34,45,47,3,0,1
18,3,0,1,5,6,41,31,44,40,31,1,3,1
19,4,0,6,0,6,49,39,45,30,30,2,5,1
20,2,0,5,5,6,32,27,29,30,47,1,0,0
21,3,0,5,5,6,28,45,51,53,33,4,5,1
22,5,0,0,5,6,25,43,38,39,53,3,2,1
23,3,0,6,5,6,40,33,40,50,35,2,6,0
24,3,0,1,5,6,51,16,37,45,34,1,1,1
25,4,0,6,5,6,34,44,54,48,51,3,4,1
26,3,0,4,5,6,28,37,37,49,42,3,7,1
27,4,1,3,1,6,35,28,24,38,46,4,1,1
28,2,0,6,5,6,41,31,46,43,25,8,7,1
29,2,1,7,5,6,36,29,41,45,50,4,4,1
30,3,0,8,5,6,24,51,52,49,53,3,4,0
31,3,0,1,5,6,39,34,37,33,37,1,6,1
32,2,1,1,3,6,25,34,47,39,42,1,3,0
33,2,0,6,5,6,28,31,46,46,42,4,3,1
34,0,0,6,5,6,40,38,48,51,41,2,1,1
35,2,0,6,6,5,46,44,52,23,36,5,10,0
36,5,0,0,5,6,33,34,28,41,36,5,1,0
37,2,0,6,5,6,33,36,45,43,30,3,5,1
38,4,0,0,6,6,39,42,53,44,37,5,4,1
39,3,0,6,5,6,22,48,48,43,47,3,3,1
40,5,1,5,5,6,33,33,38,38,45,1,5,1
41,2,0,7,5,6,36,37,46,29,47,2,6,1
42,2,1,6,5,6,44,40,53,54,39,3,5,0
43,2,0,7,5,6,34,33,37,43,37,3,4,1
44,2,0,5,5,6,27,36,44,42,34,3,5,1
45,1,0,6,5,5,26,49,49,51,48,3,6,1
46,1,1,6,5,6,31,43,54,49,52,1,0,1
47,3,1,4,1,6,39,44,38,45,51,2,3,0
48,3,0,7,5,6,19,45,48,49,49,0,2,1
49,3,0,1,5,6,37,34,44,42,37,4,3,1
50,1,1,7,5,-4,44,36,32,37,44,5,9,1
51,2,0,7,5,6,46,39,45,35,42,2,3,1
52,3,0,5,1,6,47,46,42,37,27,8,10,0
53,4,1,6,5,6,34,40,36,45,36,5,1,1
54,3,0,7,5,6,23,39,53,45,44,3,5,1
55,4,0,1,5,6,36,47,42,36,33,7,9,1
56,4,1,5,5,6,36,35,38,40,39,1,0,0
57,2,1,4,5,6,36,40,34,43,44,1,1,1
58,1,1,6,5,6,30,44,32,45,47,2,4,0
59,3,0,3,5,6,38,44,46,40,39,8,9,1
60,3,0,6,5,6,31,31,37,32,41,1,1,1
61,1,1,8,5,6,49,42,48,41,40,1,6,1
62,3,0,7,5,0,18,50,54,44,50,1,2,1
63,1,0,6,5,6,30,30,33,34,45,1,2,1
64,3,0,6,5,6,46,38,41,39,42,1,2,1
65,3,0,8,5,6,22,43,53,40,48,1,4,1
66,2,0,4,5,6,43,43,40,50,46,5,5,1
67,3,0,1,5,6,26,35,38,51,45,2,2,0
68,1,0,7,5,6,32,38,53,37,41,6,5,1
69,2,0,5,3,6,27,40,48,42,40,3,6,1
70,3,1,1,5,6,35,35,34,45,42,1,3,1
71,1,0,4,5,6,32,38,47,30,40,5,8,1
72,3,1,3,1,6,31,47,44,50,43,0,3,1
73,3,0,3,5,6,22,46,46,46,48,4,7,1
74,3,0,5,5,6,29,36,44,45,49,2,5,1
75,5,1,1,5,6,25,27,26,33,44,5,0,0
76,1,0,6,5,6,34,41,35,38,39,5,5,1
77,3,1,2,1,6,32,35,35,46,46,0,0,0
78,2,0,6,5,6,37,28,42,35,39,3,0,0
79,2,0,4,5,6,28,34,31,32,25,0,2,1
80,2,0,5,5,6,32,34,32,50,37,3,5,1
81,5,1,8,1,6,36,42,49,42,51,3,5,1
82,4,1,6,5,6,28,31,46,37,41,6,7,1
83,4,0,7,1,6,19,49,39,47,51,3,2,1
84,4,1,2,5,-4,46,33,38,52,29,4,5,0
85,3,0,1,5,6,32,41,44,41,41,1,6,1
86,1,1,3,5,6,31,40,35,44,45,5,9,0
87,2,0,4,5,6,43,39,38,44,41,3,7,1
88,4,0,1,5,6,27,41,43,41,44,2,7,1
89,2,1,4,5,6,39,26,36,38,38,1,0,0
90,2,1,7,5,6,45,36,48,39,40,5,5,1
91,2,1,7,5,6,49,42,51,45,36,1,6,1
92,2,0,5,1,6,40,37,51,45,47,6,8,0
93,1,0,3,5,6,22,38,43,45,42,2,3,0
94,5,1,1,5,6,34,34,39,48,45,1,1,0
95,3,0,7,5,6,29,36,39,47,41,1,0,1
96,3,0,7,5,6,31,42,53,32,49,5,5,1
97,2,1,6,1,6,37,32,48,42,47,1,1,0
98,3,1,7,5,6,31,44,44,39,33,4,3,1
99,2,0,8,1,6,25,37,46,39,48,3,9,0
100,1,1,6,5,6,29,58,51,49,52,5,7,1
101,1,0,7,3,6,26,55,50,33,39,3,9,1
102,3,1,1,0,6,30,43,34,42,48,1,3,0
103,3,0,3,5,6,30,48,55,34,42,2,9,1
104,3,1,5,1,6,36,44,44,41,43,4,8,0
105,1,1,4,1,6,27,41,45,50,46,2,6,1
106,2,0,5,5,6,18,43,33,38,54,1,1,0
107,1,1,4,5,6,46,38,33,45,39,1,3,0
108,2,1,1,5,6,37,40,37,38,46,5,5,1
109,1,1,6,5,6,31,53,47,44,47,8,9,1
110,3,1,4,5,6,28,43,36,37,38,2,6,1
111,3,0,7,5,0,34,42,47,41,41,4,4,1
112,1,0,7,5,6,39,32,40,39,37,4,7,1
113,1,1,6,5,6,25,42,52,35,36,3,5,0
114,3,1,5,5,6,36,44,48,44,47,4,5,0
115,2,0,4,5,6,17,52,55,38,31,8,9,0
116,1,1,5,1,6,38,36,40,45,49,1,0,1
117,2,0,5,1,6,42,36,47,31,39,5,5,0
118,1,1,6,5,6,51,45,55,44,33,5,7,1
119,2,1,4,6,6,53,26,29,50,44,3,1,1
120,2,1,6,5,6,32,44,39,45,51,3,3,1
121,1,1,7,5,6,26,44,39,36,47,4,10,1
122,2,1,5,5,6,50,31,35,29,36,5,6,0
123,4,0,7,5,6,38,41,45,41,35,3,4,1
124,1,1,6,5,6,38,35,43,43,43,7,6,1
125,3,0,1,5,6,32,52,48,46,46,3,5,0
126,4,0,6,5,6,31,48,49,44,49,5,7,1
127,3,0,6,5,6,25,44,38,40,42,3,3,1
128,3,1,2,5,6,32,34,40,45,48,1,0,1
129,2,0,8,5,0,36,44,47,44,44,3,2,0
130,3,1,7,5,6,28,46,38,49,45,4,7,1
131,3,1,1,5,6,45,42,36,46,55,2,2,1
132,3,1,1,5,5,22,39,37,57,46,1,0,0
133,2,1,3,4,6,33,36,42,42,44,1,1,0
134,2,0,7,5,6,35,41,48,42,43,5,7,1
135,1,1,7,5,3,60,29,44,47,37,1,7,1
136,2,1,1,5,6,21,50,42,54,52,5,4,0
137,3,1,6,5,6,34,38,34,54,52,7,6,1
138,3,1,6,5,6,25,50,48,48,45,0,2,0
139,4,0,6,5,6,31,34,47,45,48,1,2,1
140,3,0,1,5,6,35,42,42,49,40,3,5,1
141,1,1,6,5,0,54,42,55,49,40,2,5,1
142,2,1,1,5,6,28,44,38,51,46,1,0,1
143,2,0,2,5,6,31,38,37,45,41,5,7,1
144,2,0,5,5,1,21,48,42,51,54,2,4,0
145,3,0,5,1,6,37,32,43,35,42,3,8,1
146,3,1,6,5,6,31,41,38,56,47,7,7,0
147,4,0,5,5,6,38,31,45,40,40,4,2,1
148,2,0,7,5,1,30,43,41,44,48,3,4,0
149,2,1,5,5,6,35,32,28,37,44,1,1,0
150,3,1,6,5,6,28,52,41,55,52,3,2,0
151,2,1,4,5,6,33,48,47,47,49,4,6,1
152,2,1,6,5,6,41,28,33,46,35,2,3,1
153,1,1,6,5,6,31,29,41,39,37,0,1,1
154,1,0,6,5,6,29,46,34,48,47,3,4,1
155,0,1,4,5,6,59,30,51,40,46,3,8,1
156,2,1,6,5,1,42,30,37,45,40,2,3,1
157,2,1,4,5,6,48,40,44,50,43,4,4,1
158,1,0,1,5,6,26,47,33,40,47,3,8,1
159,2,1,6,0,6,33,41,44,41,45,6,9,0
160,3,1,4,5,1,31,36,42,44,44,3,2,0
161,3,0,7,3,6,46,45,49,42,44,3,7,1
162,2,0,6,5,1,29,42,40,54,39,2,2,1
163,1,1,6,2,6,38,40,45,53,48,1,5,0
164,1,1,4,5,6,53,40,44,49,43,3,3,0
165,1,1,8,5,6,37,42,35,52,49,1,4,0
166,3,0,7,5,6,33,38,44,40,52,1,3,1
167,0,0,4,5,6,50,31,51,27,27,6,6,1
168,1,1,5,5,1,36,40,39,40,48,5,4,0
169,1,1,6,5,6,38,48,37,41,33,5,7,1
170,0,1,3,5,6,32,40,36,47,41,2,7,1
171,3,0,1,5,6,49,38,44,44,41,6,7,0
172,2,0,7,5,6,32,46,58,48,36,7,10,1
173,3,1,5,5,6,41,36,43,40,47,4,2,1
174,2,1,6,5,6,46,44,54,44,44,5,7,1
175,2,1,5,5,6,46,36,30,48,30,6,6,1
176,4,1,6,5,6,42,40,49,51,43,4,6,1
177,2,1,6,5,5,34,36,40,35,38,1,2,0
178,2,1,6,5,6,50,40,37,37,49,2,4,1
179,3,1,6,5,6,44,33,43,48,41,4,5,1
180,2,1,5,5,6,40,39,39,50,37,1,2,1
181,3,1,5,5,6,39,44,35,45,48,4,6,1
182,1,0,8,5,6,24,37,44,47,48,2,2,1
183,2,1,4,5,6,39,45,44,51,47,1,2,1
184,0,1,6,5,6,54,37,48,38,48,2,7,1
185,4,0,3,5,6,36,34,39,47,44,1,2,1
186,2,1,6,1,6,39,44,46,48,41,3,4,1
187,2,1,7,5,6,29,49,47,45,53,1,1,1
188,4,1,1,5,6,28,34,32,50,46,1,1,0
189,3,1,1,5,6,40,30,31,47,40,1,0,0
190,0,1,7,5,6,32,40,43,44,47,2,3,1
191,4,1,5,5,6,23,40,40,47,40,2,1,1
192,0,0,6,5,3,32,48,38,47,38,5,6,1
193,1,1,5,1,6,28,38,45,45,38,6,6,1
194,3,1,6,5,6,39,32,43,44,43,1,6,1
195,1,1,6,1,3,27,48,46,43,45,2,2,0
196,4,1,6,5,6,42,42,51,41,48,5,6,1
197,0,0,6,5,1,30,42,42,51,35,4,2,0
198,4,1,6,5,6,32,43,41,37,38,2,3,1
199,1,1,5,5,6,35,43,50,48,42,8,9,1
200,3,1,5,5,6,31,54,51,54,50,5,6,0
201,0,1,6,5,6,30,41,40,50,51,5,9,1
202,2,0,7,5,5,34,33,42,34,50,2,3,1
203,2,1,6,5,6,29,48,43,49,49,4,3,1
204,5,0,0,5,6,22,32,29,37,37,1,0,1
205,1,1,6,5,6,34,46,54,43,44,3,7,1
206,2,1,1,5,6,34,47,48,37,34,8,7,1
207,0,1,6,5,6,35,48,50,44,45,6,6,1
208,2,1,5,5,6,29,43,42,47,41,3,7,1
209,2,1,6,5,6,37,40,45,41,42,5,9,0
210,1,0,7,5,0,23,43,53,40,49,1,3,0
211,1,1,4,5,6,43,41,36,43,32,8,8,0
212,3,1,1,5,6,29,36,38,50,48,1,0,1
213,1,1,5,5,6,37,44,40,54,46,3,2,1
214,3,1,5,4,6,41,39,37,49,43,1,1,1
215,1,1,5,5,6,34,47,49,51,50,4,9,1
216,1,1,6,1,6,51,38,41,50,39,4,6,1
217,1,1,5,5,6,38,47,48,52,42,6,8,1
218,2,0,5,5,6,48,45,49,52,29,8,8,0
219,1,1,7,3,6,39,47,40,36,47,3,4,0
220,2,1,4,5,6,32,36,47,50,44,1,3,1
221,0,1,6,5,6,44,38,48,43,43,4,6,1
222,1,1,6,5,6,34,43,43,38,48,5,4,0
223,2,1,6,5,6,33,44,51,50,44,7,9,1
224,4,0,6,5,6,25,47,44,50,48,3,6,0
225,3,1,6,5,6,31,49,48,46,47,3,5,1
226,2,1,6,5,6,24,44,52,40,44,1,1,1
227,3,1,6,5,6,31,43,41,52,51,3,3,1
228,0,0,4,5,6,38,46,39,39,46,7,7,1
229,3,0,7,5,6,29,42,46,38,41,4,6,1
230,3,1,6,5,6,26,49,47,49,52,1,0,1
231,2,1,5,5,6,46,23,33,47,45,1,1,1
232,5,1,7,5,6,37,32,43,40,44,3,1,1
233,1,1,6,5,6,36,48,46,44,47,5,8,1
234,3,0,6,5,6,29,45,36,49,44,5,7,1
235,1,1,6,5,6,40,46,46,37,52,4,7,0
